Time,Temp,DSC,DSC_cumsum
1404.0,223.78,0.0,0.0
1405.0,223.78,0.01,0.01
1406.0,223.78,0.01,0.02
1407.0,223.78,0.01,0.03
1408.0,223.78,0.01,0.04
1409.0,223.78,0.01,0.05
1410.0,223.78,0.01,0.060000000000000005
1411.0,223.78,0.01,0.07
1412.0,223.78,0.01,0.08
1413.0,223.78,0.01,0.09
1414.0,223.78,0.01,0.09999999999999999
1415.0,223.78,0.01,0.10999999999999999
1416.0,223.78,0.01,0.11999999999999998
1417.0,223.78,0.01,0.12999999999999998
1418.0,223.78,0.02,0.14999999999999997
1419.0,223.78,0.02,0.16999999999999996
1420.0,223.78,0.02,0.18999999999999995
1421.0,223.77,0.02,0.20999999999999994
1422.0,223.78,0.02,0.22999999999999993
1423.0,223.78,0.02,0.24999999999999992
1424.0,223.78,0.02,0.2699999999999999
1425.0,223.78,0.02,0.2899999999999999
1426.0,223.78,0.02,0.30999999999999994
1427.0,223.78,0.02,0.32999999999999996
1428.0,223.78,0.03,0.36
1429.0,223.78,0.03,0.39
1430.0,223.78,0.03,0.42000000000000004
1431.0,223.78,0.03,0.45000000000000007
1432.0,223.78,0.03,0.4800000000000001
1433.0,223.78,0.03,0.5100000000000001
1434.0,223.78,0.03,0.5400000000000001
1435.0,223.77,0.03,0.5700000000000002
1436.0,223.77,0.03,0.6000000000000002
1437.0,223.77,0.03,0.6300000000000002
1438.0,223.77,0.04,0.6700000000000003
1439.0,223.77,0.04,0.7100000000000003
1440.0,223.77,0.04,0.7500000000000003
1441.0,223.77,0.04,0.7900000000000004
1442.0,223.77,0.04,0.8300000000000004
1443.0,223.77,0.04,0.8700000000000004
1444.0,223.78,0.04,0.9100000000000005
1445.0,223.78,0.04,0.9500000000000005
1446.0,223.78,0.05,1.0000000000000004
1447.0,223.78,0.05,1.0500000000000005
1448.0,223.77,0.05,1.1000000000000005
1449.0,223.77,0.05,1.1500000000000006
1450.0,223.77,0.05,1.2000000000000006
1451.0,223.77,0.05,1.2500000000000007
1452.0,223.77,0.06,1.3100000000000007
1453.0,223.77,0.06,1.3700000000000008
1454.0,223.77,0.06,1.4300000000000008
1455.0,223.77,0.06,1.4900000000000009
1456.0,223.77,0.06,1.550000000000001
1457.0,223.77,0.07,1.620000000000001
1458.0,223.77,0.07,1.690000000000001
1459.0,223.77,0.07,1.7600000000000011
1460.0,223.77,0.07,1.8300000000000012
1461.0,223.77,0.07,1.9000000000000012
1462.0,223.77,0.07,1.9700000000000013
1463.0,223.77,0.07,2.0400000000000014
1464.0,223.77,0.07,2.110000000000001
1465.0,223.77,0.08,2.1900000000000013
1466.0,223.77,0.08,2.2700000000000014
1467.0,223.77,0.08,2.3500000000000014
1468.0,223.77,0.08,2.4300000000000015
1469.0,223.77,0.08,2.5100000000000016
1470.0,223.76,0.09,2.6000000000000014
1471.0,223.76,0.09,2.6900000000000013
1472.0,223.77,0.09,2.780000000000001
1473.0,223.76,0.09,2.870000000000001
1474.0,223.76,0.09,2.960000000000001
1475.0,223.76,0.1,3.060000000000001
1476.0,223.76,0.1,3.160000000000001
1477.0,223.76,0.1,3.260000000000001
1478.0,223.76,0.1,3.360000000000001
1479.0,223.76,0.1,3.4600000000000013
1480.0,223.76,0.1,3.5600000000000014
1481.0,223.76,0.11,3.6700000000000013
1482.0,223.76,0.11,3.780000000000001
1483.0,223.76,0.11,3.890000000000001
1484.0,223.76,0.11,4.000000000000001
1485.0,223.76,0.11,4.110000000000001
1486.0,223.76,0.11,4.2200000000000015
1487.0,223.76,0.11,4.330000000000002
1488.0,223.76,0.12,4.450000000000002
1489.0,223.76,0.12,4.570000000000002
1490.0,223.76,0.12,4.690000000000002
1491.0,223.76,0.12,4.810000000000002
1492.0,223.76,0.12,4.930000000000002
1493.0,223.76,0.12,5.0500000000000025
1494.0,223.76,0.13,5.180000000000002
1495.0,223.76,0.13,5.310000000000002
1496.0,223.76,0.13,5.440000000000002
1497.0,223.76,0.13,5.570000000000002
1498.0,223.76,0.13,5.700000000000002
1499.0,223.76,0.14,5.840000000000002
1500.0,223.76,0.14,5.980000000000001
1501.0,223.76,0.14,6.120000000000001
1502.0,223.76,0.14,6.260000000000001
1503.0,223.76,0.14,6.4
1504.0,223.76,0.15,6.550000000000001
1505.0,223.76,0.15,6.700000000000001
1506.0,223.76,0.15,6.850000000000001
1507.0,223.76,0.15,7.000000000000002
1508.0,223.76,0.15,7.150000000000002
1509.0,223.76,0.16,7.310000000000002
1510.0,223.76,0.16,7.470000000000002
1511.0,223.76,0.16,7.630000000000003
1512.0,223.76,0.16,7.790000000000003
1513.0,223.76,0.16,7.950000000000003
1514.0,223.76,0.16,8.110000000000003
1515.0,223.76,0.17,8.280000000000003
1516.0,223.76,0.17,8.450000000000003
1517.0,223.76,0.17,8.620000000000003
1518.0,223.76,0.17,8.790000000000003
1519.0,223.76,0.17,8.960000000000003
1520.0,223.76,0.18,9.140000000000002
1521.0,223.76,0.18,9.320000000000002
1522.0,223.76,0.18,9.500000000000002
1523.0,223.76,0.18,9.680000000000001
1524.0,223.76,0.18,9.860000000000001
1525.0,223.76,0.19,10.05
1526.0,223.76,0.19,10.24
1527.0,223.76,0.19,10.43
1528.0,223.76,0.19,10.62
1529.0,223.76,0.2,10.819999999999999
1530.0,223.76,0.2,11.019999999999998
1531.0,223.76,0.2,11.219999999999997
1532.0,223.76,0.2,11.419999999999996
1533.0,223.76,0.21,11.629999999999997
1534.0,223.76,0.21,11.839999999999998
1535.0,223.76,0.21,12.049999999999999
