Time,Temp,DSC
247.00,107.84,-1.10
248.00,108.17,-1.10
249.00,108.50,-1.10
250.00,108.83,-1.10
251.00,109.17,-1.10
252.00,109.50,-1.10
253.00,109.83,-1.09
254.00,110.16,-1.09
255.00,110.49,-1.09
256.00,110.82,-1.09
257.00,111.15,-1.09
258.00,111.49,-1.09
259.00,111.82,-1.09
260.00,112.15,-1.09
261.00,112.48,-1.08
262.00,112.81,-1.08
263.00,113.15,-1.08
264.00,113.48,-1.08
265.00,113.81,-1.08
266.00,114.14,-1.07
267.00,114.47,-1.07
268.00,114.80,-1.07
269.00,115.13,-1.07
270.00,115.47,-1.07
271.00,115.80,-1.07
272.00,116.13,-1.06
273.00,116.46,-1.06
274.00,116.79,-1.06
275.00,117.12,-1.06
276.00,117.45,-1.06
277.00,117.78,-1.06
278.00,118.11,-1.05
279.00,118.44,-1.05
280.00,118.77,-1.05
281.00,119.10,-1.05
282.00,119.43,-1.05
283.00,119.76,-1.04
284.00,120.09,-1.04
285.00,120.41,-1.04
286.00,120.75,-1.04
287.00,121.08,-1.03
288.00,121.41,-1.03
289.00,121.74,-1.02
290.00,122.07,-1.02
291.00,122.40,-1.01
292.00,122.73,-1.01
293.00,123.06,-1.00
294.00,123.39,-1.00
295.00,123.72,-0.99
296.00,124.05,-0.98
297.00,124.38,-0.97
298.00,124.71,-0.96
299.00,125.04,-0.95
300.00,125.37,-0.93
301.00,125.70,-0.92
302.00,126.04,-0.90
303.00,126.37,-0.88
304.00,126.70,-0.85
305.00,127.03,-0.83
306.00,127.37,-0.80
307.00,127.70,-0.76
308.00,128.03,-0.72
309.00,128.36,-0.68
310.00,128.70,-0.62
311.00,129.03,-0.56
312.00,129.37,-0.49
313.00,129.70,-0.40
314.00,130.04,-0.31
315.00,130.38,-0.20
316.00,130.73,-0.07
317.00,131.07,0.08
318.00,131.42,0.24
319.00,131.76,0.43
320.00,132.11,0.63
321.00,132.46,0.86
322.00,132.82,1.12
323.00,133.17,1.39
324.00,133.52,1.69
325.00,133.87,2.01
326.00,134.22,2.35
327.00,134.57,2.69
328.00,134.93,3.04
329.00,135.28,3.39
330.00,135.63,3.73
331.00,135.97,4.04
332.00,136.32,4.33
333.00,136.66,4.59
334.00,136.99,4.80
335.00,137.32,4.97
336.00,137.65,5.09
337.00,137.97,5.16
338.00,138.30,5.18
339.00,138.62,5.16
340.00,138.93,5.09
341.00,139.24,4.99
342.00,139.56,4.86
343.00,139.87,4.69
344.00,140.18,4.51
345.00,140.49,4.30
346.00,140.80,4.08
347.00,141.10,3.85
348.00,141.42,3.62
349.00,141.73,3.38
350.00,142.03,3.14
351.00,142.35,2.90
352.00,142.66,2.67
353.00,142.97,2.44
354.00,143.28,2.22
355.00,143.60,2.01
356.00,143.91,1.81
357.00,144.23,1.62
358.00,144.55,1.45
359.00,144.86,1.28
360.00,145.18,1.13
361.00,145.49,0.99
362.00,145.81,0.86
363.00,146.13,0.74
364.00,146.45,0.63
365.00,146.77,0.53
366.00,147.09,0.44
367.00,147.41,0.35
368.00,147.73,0.28
369.00,148.05,0.21
370.00,148.37,0.15
371.00,148.70,0.09
372.00,149.02,0.04
373.00,149.34,-0.01
374.00,149.66,-0.05
375.00,149.99,-0.09
376.00,150.31,-0.13
377.00,150.64,-0.16
378.00,150.96,-0.19
379.00,151.28,-0.21
380.00,151.61,-0.24
381.00,151.93,-0.26
382.00,152.26,-0.28
383.00,152.58,-0.29
384.00,152.91,-0.31
385.00,153.23,-0.32
386.00,153.56,-0.34
387.00,153.89,-0.35
388.00,154.21,-0.36
389.00,154.54,-0.37
390.00,154.87,-0.38
391.00,155.19,-0.39
392.00,155.52,-0.39
393.00,155.85,-0.40
394.00,156.17,-0.41
395.00,156.50,-0.41
396.00,156.83,-0.42
397.00,157.16,-0.43
398.00,157.48,-0.43
399.00,157.81,-0.44
400.00,158.14,-0.44
401.00,158.47,-0.45
402.00,158.79,-0.45
403.00,159.12,-0.45
404.00,159.44,-0.46
405.00,159.77,-0.46
406.00,160.10,-0.47
407.00,160.43,-0.47
408.00,160.76,-0.47
409.00,161.09,-0.48
410.00,161.41,-0.48
411.00,161.75,-0.48
412.00,162.07,-0.48
413.00,162.41,-0.48
414.00,162.73,-0.49
415.00,163.06,-0.49
416.00,163.39,-0.49
417.00,163.72,-0.49
418.00,164.06,-0.50
419.00,164.39,-0.50
420.00,164.72,-0.50
421.00,165.05,-0.50
422.00,165.38,-0.50
423.00,165.71,-0.51
424.00,166.04,-0.51
425.00,166.37,-0.51
426.00,166.70,-0.51
427.00,167.03,-0.52
428.00,167.36,-0.52
429.00,167.69,-0.52
430.00,168.03,-0.52
431.00,168.36,-0.52
432.00,168.69,-0.53
433.00,169.02,-0.53
434.00,169.35,-0.53
435.00,169.69,-0.53
436.00,170.02,-0.53
437.00,170.35,-0.53
438.00,170.68,-0.54
439.00,171.01,-0.54
440.00,171.35,-0.54
441.00,171.68,-0.54
442.00,172.01,-0.54
443.00,172.34,-0.54
444.00,172.68,-0.55
445.00,173.01,-0.55
446.00,173.34,-0.55
447.00,173.67,-0.55
448.00,174.01,-0.55
449.00,174.34,-0.55
450.00,174.67,-0.56
451.00,175.01,-0.56
452.00,175.34,-0.56
453.00,175.67,-0.56
454.00,176.00,-0.56
455.00,176.34,-0.56
456.00,176.67,-0.56
457.00,177.01,-0.56
458.00,177.34,-0.56
459.00,177.67,-0.57
460.00,178.01,-0.57
461.00,178.34,-0.57
462.00,178.68,-0.57
463.00,179.01,-0.57
464.00,179.34,-0.57
465.00,179.68,-0.57
466.00,180.01,-0.57
467.00,180.35,-0.57
468.00,180.68,-0.58
469.00,181.02,-0.58
470.00,181.35,-0.58
471.00,181.68,-0.58
472.00,182.02,-0.58
473.00,182.35,-0.58
474.00,182.68,-0.58
475.00,183.02,-0.58
476.00,183.35,-0.59
477.00,183.69,-0.59
478.00,184.02,-0.59
479.00,184.36,-0.59
480.00,184.69,-0.59
481.00,185.02,-0.59
482.00,185.36,-0.59
483.00,185.69,-0.59
484.00,186.03,-0.59
485.00,186.36,-0.59
486.00,186.70,-0.59
487.00,187.04,-0.60
488.00,187.37,-0.60
489.00,187.70,-0.60
490.00,188.04,-0.60
491.00,188.37,-0.60
492.00,188.71,-0.60
493.00,189.04,-0.60
494.00,189.38,-0.60
495.00,189.71,-0.60
496.00,190.05,-0.60
497.00,190.38,-0.60
498.00,190.72,-0.61
499.00,191.05,-0.61
500.00,191.39,-0.61
501.00,191.72,-0.61
502.00,192.06,-0.61
503.00,192.39,-0.61
504.00,192.73,-0.61
505.00,193.06,-0.61
506.00,193.40,-0.61
507.00,193.74,-0.61
508.00,194.07,-0.61
509.00,194.41,-0.61
510.00,194.74,-0.61
511.00,195.08,-0.62
512.00,195.41,-0.62
513.00,195.75,-0.62
514.00,196.08,-0.62
515.00,196.41,-0.62
516.00,196.75,-0.62
517.00,197.08,-0.62
518.00,197.42,-0.62
519.00,197.76,-0.62
520.00,198.09,-0.63
521.00,198.43,-0.63
522.00,198.76,-0.63
523.00,199.10,-0.63
524.00,199.43,-0.63
525.00,199.77,-0.63
526.00,200.11,-0.63
527.00,200.44,-0.63
528.00,200.78,-0.63
529.00,201.11,-0.63
530.00,201.45,-0.63
531.00,201.78,-0.63
532.00,202.12,-0.63
533.00,202.45,-0.63
534.00,202.78,-0.63
535.00,203.12,-0.64
536.00,203.46,-0.64
537.00,203.79,-0.64
538.00,204.13,-0.64
539.00,204.46,-0.64
540.00,204.80,-0.64
541.00,205.14,-0.64
542.00,205.47,-0.64
543.00,205.81,-0.64
544.00,206.14,-0.64
545.00,206.48,-0.64
546.00,206.81,-0.64
547.00,207.15,-0.65
548.00,207.49,-0.65
549.00,207.82,-0.65
550.00,208.16,-0.65
551.00,208.49,-0.65
552.00,208.83,-0.65
553.00,209.17,-0.65
554.00,209.50,-0.65
555.00,209.84,-0.65
556.00,210.17,-0.66
557.00,210.51,-0.66
558.00,210.85,-0.66
559.00,211.18,-0.66
560.00,211.52,-0.66
561.00,211.85,-0.66
562.00,212.19,-0.66
563.00,212.52,-0.66
564.00,212.86,-0.66
565.00,213.19,-0.66
566.00,213.53,-0.67
567.00,213.87,-0.67
568.00,214.20,-0.67
569.00,214.54,-0.67
570.00,214.88,-0.67
571.00,215.21,-0.67
572.00,215.55,-0.67
573.00,215.88,-0.67
574.00,216.22,-0.67
575.00,216.56,-0.67
576.00,216.89,-0.67
577.00,217.23,-0.68
578.00,217.56,-0.68
579.00,217.90,-0.68
580.00,218.24,-0.68
581.00,218.57,-0.68
582.00,218.91,-0.68
583.00,219.24,-0.68
584.00,219.58,-0.69
585.00,219.92,-0.69
586.00,220.25,-0.69
587.00,220.59,-0.70
588.00,220.92,-0.70
589.00,221.26,-0.70
590.00,221.60,-0.70
591.00,221.93,-0.71
592.00,222.27,-0.71
593.00,222.60,-0.71
594.00,222.94,-0.72
595.00,223.27,-0.72
596.00,223.61,-0.73
597.00,223.94,-0.74
598.00,224.28,-0.74
599.00,224.62,-0.75
600.00,224.95,-0.76
601.00,225.29,-0.76
602.00,225.62,-0.77
603.00,225.95,-0.78
604.00,226.29,-0.79
605.00,226.62,-0.81
606.00,226.96,-0.82
607.00,227.29,-0.83
608.00,227.63,-0.84
609.00,227.96,-0.86
610.00,228.30,-0.87
611.00,228.63,-0.88
612.00,228.97,-0.90
613.00,229.31,-0.92
614.00,229.64,-0.93
615.00,229.98,-0.95
616.00,230.31,-0.97
617.00,230.65,-1.00
618.00,230.98,-1.02
619.00,231.32,-1.04
620.00,231.65,-1.07
621.00,231.98,-1.10
622.00,232.32,-1.12
623.00,232.65,-1.15
624.00,232.99,-1.18
625.00,233.32,-1.21
626.00,233.65,-1.24
627.00,233.99,-1.28
628.00,234.32,-1.31
629.00,234.65,-1.35
630.00,234.99,-1.38
631.00,235.32,-1.42
632.00,235.65,-1.46
633.00,235.98,-1.50
634.00,236.32,-1.54
635.00,236.65,-1.58
636.00,236.98,-1.63
637.00,237.32,-1.67
638.00,237.65,-1.72
639.00,237.99,-1.77
640.00,238.32,-1.81
641.00,238.65,-1.87
642.00,238.99,-1.92
643.00,239.32,-1.97
644.00,239.65,-2.02
645.00,239.98,-2.08
646.00,240.31,-2.14
647.00,240.65,-2.19
648.00,240.98,-2.25
649.00,241.31,-2.32
650.00,241.64,-2.38
651.00,241.98,-2.44
652.00,242.31,-2.51
653.00,242.64,-2.57
654.00,242.97,-2.64
655.00,243.30,-2.71
656.00,243.64,-2.78
657.00,243.97,-2.85
658.00,244.30,-2.93
659.00,244.63,-3.00
660.00,244.96,-3.08
661.00,245.29,-3.15
662.00,245.63,-3.23
663.00,245.96,-3.31
664.00,246.29,-3.40
665.00,246.62,-3.48
666.00,246.95,-3.56
667.00,247.28,-3.64
668.00,247.61,-3.73
669.00,247.94,-3.81
670.00,248.27,-3.90
671.00,248.60,-3.98
672.00,248.93,-4.07
673.00,249.27,-4.16
674.00,249.60,-4.25
675.00,249.93,-4.34
676.00,250.26,-4.42
677.00,250.59,-4.51
678.00,250.92,-4.59
679.00,251.26,-4.66
680.00,251.59,-4.72
681.00,251.93,-4.78
682.00,252.26,-4.82
683.00,252.60,-4.85
684.00,252.93,-4.87
685.00,253.27,-4.87
686.00,253.61,-4.85
687.00,253.96,-4.82
688.00,254.30,-4.76
689.00,254.65,-4.67
690.00,254.99,-4.55
691.00,255.34,-4.39
692.00,255.70,-4.20
693.00,256.05,-3.98
694.00,256.40,-3.72
695.00,256.76,-3.45
696.00,257.11,-3.16
697.00,257.47,-2.86
698.00,257.82,-2.57
699.00,258.17,-2.29
700.00,258.52,-2.02
701.00,258.87,-1.77
702.00,259.22,-1.55
703.00,259.56,-1.34
704.00,259.91,-1.16
705.00,260.25,-1.01
706.00,260.59,-0.87
707.00,260.93,-0.75
708.00,261.27,-0.65
709.00,261.61,-0.56
710.00,261.95,-0.49
711.00,262.29,-0.43
712.00,262.63,-0.38
713.00,262.96,-0.34
714.00,263.30,-0.31
715.00,263.64,-0.28
716.00,263.97,-0.26
717.00,264.31,-0.24
718.00,264.65,-0.23
719.00,264.99,-0.22
720.00,265.32,-0.22
721.00,265.66,-0.22
722.00,265.99,-0.22
723.00,266.33,-0.22
724.00,266.67,-0.22
725.00,267.01,-0.23
726.00,267.34,-0.24
727.00,267.68,-0.24
728.00,268.01,-0.25
729.00,268.35,-0.26
